split,source_label,label,tfidf_similarity,keyword_overlap_ratio,education_level_score,experience_gap,sbert_score
train,No Fit,0,0.0411,0.25,0,9.0,0.44413012
train,No Fit,0,0.1172,0.4,0,20.0,0.5020226
train,No Fit,0,0.0122,0.1667,0,13.0,0.13766176
train,No Fit,0,0.0722,0.05,0,12.0,0.35789478
train,No Fit,0,0.0479,0.15,0,8.0,0.31673494
train,No Fit,0,0.041,0.05,0,5.0,0.33040267
train,No Fit,0,0.0334,0.2353,0,23.0,0.29968515
train,No Fit,0,0.0307,0.25,-1,14.0,0.38306296
train,No Fit,0,0.0908,0.35,1,10.0,0.5327643
train,No Fit,0,0.0973,0.4,0,17.0,0.3367981
train,No Fit,0,0.0922,0.3,1,8.0,0.15799978
train,No Fit,0,0.049,0.4,3,0.0,0.50719076
train,No Fit,0,0.1194,0.45,-1,2.0,0.51094157
train,No Fit,0,0.0317,0.1765,1,5.0,0.30871215
train,No Fit,0,0.0677,0.05,2,12.0,0.16427892
train,No Fit,0,0.1453,0.3,1,8.0,0.46726018
train,No Fit,0,0.1799,0.2,0,6.0,0.50591725
train,No Fit,0,0.0922,0.2,0,14.0,0.3759579
train,No Fit,0,0.0608,0.0,0,1.0,0.2090782
train,No Fit,0,0.1437,0.4,0,0.0,0.44988298
train,No Fit,0,0.1126,0.15,1,-2.0,0.38699585
train,No Fit,0,0.0539,0.3,0,13.0,0.45997345
train,No Fit,0,0.0482,0.2,-1,-4.0,0.3182382
train,No Fit,0,0.0988,0.1,1,23.0,0.3458311
train,No Fit,0,0.0614,0.25,0,5.0,0.2920593
train,No Fit,0,0.0435,0.3,-1,-10.0,0.27964276
train,No Fit,0,0.0471,0.1,0,10.0,0.25593734
train,No Fit,0,0.0396,0.15,-1,10.0,0.36581424
train,No Fit,0,0.1171,0.5,0,16.0,0.49976537
train,No Fit,0,0.0564,0.3,-1,5.0,0.4561268
train,No Fit,0,0.1084,0.35,0,7.0,0.41072398
train,No Fit,0,0.0862,0.25,0,15.0,0.2825229
train,No Fit,0,0.0315,0.15,0,14.0,0.35489875
train,No Fit,0,0.0253,0.25,0,5.0,0.4284463
train,No Fit,0,0.04,0.1,-2,3.0,0.29583102
train,No Fit,0,0.0532,0.1,-2,-4.0,0.23864909
train,No Fit,0,0.0901,0.25,0,8.0,0.40905786
train,No Fit,0,0.0601,0.1,1,29.0,0.5362893
train,No Fit,0,0.0434,0.2,1,22.0,0.3366956
train,No Fit,0,0.0503,0.15,0,8.0,0.14330383
train,No Fit,0,0.0121,0.2,0,10.0,0.3926242
train,No Fit,0,0.1111,0.1,0,0.0,0.38773876
train,No Fit,0,0.0832,0.3,0,11.0,0.29758692
train,No Fit,0,0.0592,0.2,0,17.0,0.43953812
train,No Fit,0,0.0481,0.25,0,5.0,0.3102821
train,No Fit,0,0.0657,0.1,0,4.0,0.30140218
train,No Fit,0,0.0335,0.05,0,21.0,0.25833803
train,No Fit,0,0.1431,0.65,1,9.0,0.50306314
train,No Fit,0,0.0994,0.25,0,16.0,0.36640158
train,No Fit,0,0.0603,0.35,0,0.0,0.38237226
train,No Fit,0,0.0396,0.1,0,9.0,0.17612687
train,No Fit,0,0.0245,0.05,0,0.0,0.401792
train,No Fit,0,0.0809,0.25,0,5.0,0.31698093
train,No Fit,0,0.0642,0.2,0,15.0,0.38443944
train,No Fit,0,0.0578,0.3,0,-6.0,0.2787859
train,No Fit,0,0.1107,0.35,1,5.0,0.24920222
train,No Fit,0,0.0772,0.15,0,10.0,0.4156412
train,No Fit,0,0.0232,0.05,-1,5.0,0.38632464
train,No Fit,0,0.0724,0.25,-1,10.0,0.2930139
train,No Fit,0,0.0353,0.05,0,23.0,0.27173975
train,No Fit,0,0.034,0.1,0,3.0,0.26279944
train,No Fit,0,0.073,0.3,1,13.0,0.2937392
train,No Fit,0,0.0667,0.5,2,12.0,0.41742647
train,No Fit,0,0.0808,0.4,0,5.0,0.23107183
train,No Fit,0,0.0514,0.3,-1,12.0,0.41278362
train,No Fit,0,0.0556,0.2,0,13.0,0.5280199
train,No Fit,0,0.0548,0.2105,0,2.0,0.27824214
train,No Fit,0,0.1647,0.45,0,20.0,0.46830827
train,No Fit,0,0.0309,0.05,-1,17.0,0.38396135
train,No Fit,0,0.0603,0.25,1,7.0,0.34802723
train,No Fit,0,0.1215,0.4,0,8.0,0.3495444
train,No Fit,0,0.0325,0.1,0,13.0,0.29558837
train,No Fit,0,0.0377,0.3,1,7.0,0.29940265
train,No Fit,0,0.0522,0.35,0,0.0,0.1306065
train,No Fit,0,0.0218,0.0769,1,13.0,0.20728087
train,No Fit,0,0.0787,0.2,-1,4.0,0.5231916
train,No Fit,0,0.1373,0.5,0,0.0,0.24102011
train,No Fit,0,0.0504,0.2,0,8.0,0.27777803
train,No Fit,0,0.0471,0.25,1,12.0,0.4328565
train,No Fit,0,0.1383,0.4,0,0.0,0.2306723
train,No Fit,0,0.0643,0.35,-1,18.0,0.27148446
train,No Fit,0,0.1602,0.45,1,-5.0,0.22344911
train,No Fit,0,0.0282,0.0,0,0.0,0.48266917
train,No Fit,0,0.2349,0.45,0,9.0,0.43370685
train,No Fit,0,0.0,0.0,0,12.0,0.20469305
train,No Fit,0,0.0342,0.3,-1,20.0,0.17584684
train,No Fit,0,0.0784,0.4,0,7.0,0.27260488
